id,user_id,song_id,rank,fc
1,3,1,99%,TRUE
2,3,2,99%,TRUE
3,3,3,98%,FALSE
4,3,4,98%,TRUE
5,3,5,99%,FALSE
6,3,6,99%,TRUE
7,3,7,99%,TRUE
8,3,8,99%,TRUE
9,3,9,98%,TRUE
10,3,10,99%,TRUE
11,3,11,99%,TRUE
12,3,12,99%,TRUE
13,3,13,99%,TRUE
14,3,14,99%,TRUE
15,3,15,99%,TRUE
16,3,16,99%,TRUE
17,3,17,96%,FALSE
18,3,18,98%,FALSE
19,3,19,99%,TRUE
20,3,20,99%,TRUE
21,3,21,98%,TRUE
22,3,22,98%,TRUE
23,3,23,97%,TRUE
24,3,24,99%,TRUE
25,3,25,98%,TRUE
26,3,26,98%,TRUE
27,3,27,98%,TRUE
28,3,28,98%,TRUE
29,3,29,99%,TRUE
30,3,30,98%,FALSE
31,3,31,99%,TRUE
32,3,32,99%,TRUE
33,3,33,99%,TRUE
34,3,34,98%,TRUE
35,3,35,98%,TRUE
36,3,36,95%,FALSE
37,3,37,98%,TRUE
38,3,38,98%,TRUE
39,3,39,99%,TRUE
40,3,40,98%,FALSE
41,3,41,99%,TRUE
42,3,42,98%,FALSE
43,3,43,99%,FALSE
44,3,44,98%,FALSE
45,3,45,98%,FALSE
46,3,46,99%,TRUE
47,3,47,98%,TRUE
48,3,48,98%,TRUE
49,3,49,98%,TRUE
50,3,50,98%,TRUE
51,3,51,99%,TRUE
52,3,52,99%,TRUE
53,3,53,98%,TRUE
54,3,54,98%,TRUE
55,3,55,98%,TRUE
56,3,56,97%,FALSE
57,3,57,98%,FALSE
58,3,58,98%,TRUE
59,3,59,96%,FALSE
60,3,60,99%,TRUE
61,3,61,98%,FALSE
62,3,62,98%,TRUE
63,3,63,99%,TRUE
64,3,64,98%,TRUE
65,3,65,98%,TRUE
66,3,66,98%,TRUE
67,3,67,98%,TRUE
68,3,68,99%,TRUE
69,3,69,98%,TRUE
70,3,70,99%,TRUE
71,3,71,98%,FALSE
72,3,72,98%,TRUE
73,3,73,99%,TRUE
74,3,74,98%,FALSE
75,3,75,98%,TRUE
76,3,76,99%,TRUE
77,3,77,99%,TRUE
78,3,78,99%,TRUE
79,3,79,99%,TRUE
80,3,80,99%,TRUE
81,3,81,98%,TRUE
82,3,82,98%,FALSE
83,3,83,98%,TRUE
84,3,84,95%,FALSE
85,3,85,99%,TRUE
86,3,86,99%,TRUE
87,3,87,98%,TRUE
88,3,88,95%,FALSE
89,3,89,99%,TRUE
90,3,90,98%,FALSE
91,3,91,99%,TRUE
92,3,92,98%,FALSE
93,3,93,98%,TRUE
94,3,94,98%,TRUE
95,3,95,98%,TRUE
96,3,96,99%,TRUE
97,3,97,98%,TRUE
98,3,98,98%,TRUE
99,3,99,99%,TRUE
100,3,100,98%,FALSE
101,3,101,98%,TRUE
102,3,102,99%,TRUE
103,3,103,98%,FALSE
104,3,104,99%,TRUE
105,3,105,98%,TRUE
106,3,106,99%,TRUE
107,3,107,98%,FALSE
108,3,108,98%,TRUE
109,3,109,97%,FALSE
110,3,110,98%,TRUE
111,3,111,99%,TRUE
112,3,112,99%,TRUE
113,3,113,99%,TRUE
114,3,114,99%,TRUE
115,3,115,98%,TRUE
116,3,116,99%,FALSE
117,3,117,98%,TRUE
118,3,118,98%,TRUE
119,3,119,98%,TRUE
120,3,120,98%,TRUE
121,3,121,99%,TRUE
122,3,122,98%,TRUE
123,3,123,98%,FALSE
124,3,124,98%,TRUE
125,3,125,98%,TRUE
126,3,126,99%,TRUE