id,title,jiriki_rank
1,Artifacter,E
2,Army of Marionette,F
3,I'm so Happy【SP】,B
4,アストライアの双皿,C
5,"Anisakis -somatic mutation type ""Forza""- 【SP】",B
6,妖隠し -あやかしかくし-,F
7,ARACHNE,D
8,Arcanos,F
9,ALBIDA,E
10,∞=Inftrumental=,C
11,WICKeD CRφSS,C
12,Water Horizon(BD MIX),F
13,梅雪夜【SP】,E
14,ÆTHER,F
15,エキサイティング！！も・ちゃ・ちゃ☆,F
16,Evans,E
17,Elemental Creation,S
18,Elemental Creation -GITADO ROCK Ver.-,A+
19,Erosion Mark,F
20,Engraved Mark,F
21,EMPEROR OF THE AVALON,C
22,OVERHEAT -Type R-,B+
23,御千手メディテーション,A+
24,オタサー☆レボリューション,F
25,KHAMEN BREAK,B
26,GAIA,B
27,GAIA - GITADORA EDITION-,C
28,Kailua,E
29,Gimme a Big Beat(Hommarju Remix),D
30,キャトられ❤️恋はモ～モク,B+
31,狂喜宴舞,F
32,狂鬼村正,F
33,Chirality,D
34,Guilty Destruction,B
35,quaver♪,E
36,CLAMARE,S+
37,Ground Shake,E
38,GLITTER,B
39,Glitch Nerds,F
40,Cleopatrysm,B+
41,Chronoxia,E
42,Gale Rider,B
43,CODE:1,F
44,黒点,B+
45,Cytokinesis,D
46,Sakura Mirage,F
47,The 4th KAC DJ TOTTO's SELECTION,D
48,THE FALLEN【SP】,D
49,The Least 100Sec,A
50,Genesis At Oasis,B
51,灼熱Beach Side Bunny,F
52,終焔のClaudia,B
53,シュレディンガーの猫,B+
54,少年は空を辿る,B
55,JOMANDA,C
56,ZirkFied,A+
57,XiNX,C
58,Squeeze,B
59,Stand Alone Beat Masta,A+
60,STELLAR WIND,F
61,STULTI,A
62,ストレイ・マーチ,D
63,Snake Stick,E
64,Snow Eagle,B
65,SPEED BLADE,E
66,ZZ,A
67,双璧のVANESSA,B+
68,DARK LEGACY,D
69,TITANS RETURN,D
70,太陽の子,B
71,打打打打打打打打打打【SP】,C
72,DOUBLE IMPACT,B+
73,Chinese Snowy Dance,E
74,Chaplet,A
75,256*256,E
76,December Breeze,C
77,Daily Lunch Special,D
78,Deus ex Machina,E
79,DEADLOCK,C
80,天空の夜明け,C
81,天地動伝説,C
82,True Blue,B+
83,DRAGON KILLER,D
84,IX,S
85,Nigra Ludia,E
86,Nostalgia Is Lost,E
87,HYENA,B+
88,HAERETICUS,S
89,Bad Maniacs,F
90,Valanga,B+
91,Hollywood Galaxy,F
92,VALLIS-NERIA,B
93,BEAT-NEW-WORLD,D
94,Vairocana,A
95,FIRE FIRE,C
96,Poochie,D
97,fallen leaves,A
98,fffff,B
99,FLOWER,F
100,FLOWER【SP】,B+
101,プレインエイジア -PHQ remix-,D
102,Playing With Fire,D
103,perditus†paradisus,A+
104,Broken,E
105,Proluvies,E
106,Benita,E
107,ほおずき程度には赤い頭髪,A+
108,meme【SP】,D
109,Miseria,A+
110,見習い天使と星降りの丘,B+
111,MEGANTO METEOR,D
112,雪月夜,F
113,Like+it!,D
114,Regain Blue feat.せんざい（RoughSketch Remix）,C
115,Lisa-RICCIA,A
116,licca,E
117,Refrain,B+
118,Liberation,B
119,龍と少女とデコヒーレンス,D
120,量子の海のリントヴルム,B
121,リリーゼと炎龍レーヴァテイン,C
122,Ludus In Tenebris,B+
123,L'erisia(Primal Logic)【SP】,C
124,Red Goose,C
125,海神,A
126,WONDER WALKER,E